Building Id,Building Name,Metric,Units,Resolution,1,2,3,4,5,6,7,8,9,10,11,12
02699806-fbb9-4003-84e3-45083cedb250,CHSC,SDL/Window Radiation,kWh,Monthly,10336.7290238081,23062.8195817857,23681.2548346096,25488.0154869312,27688.7451351275,25529.1628061526,32658.0391701133,29333.1651587595,27547.873369162,19730.8486899761,9879.67296407036,9883.86556657309
033f908b-c572-4787-8a9a-d1a66a713a0f,PBB,SDL/Window Radiation,kWh,Monthly,37532.8094741764,83798.752186415,91938.3314039347,102964.498103996,113319.869087148,105161.785705729,134663.831065367,117595.276797619,107870.322100859,75103.6404228684,36806.6005741762,33658.0657760509
070c4c1d-a400-438f-830e-941ca7816c48,GNOM,SDL/Window Radiation,kWh,Monthly,13945.5341258374,30505.8275965041,34746.1525736097,39327.6059640392,43488.5016965591,40748.2402417126,52854.1722861099,45192.6099473634,40364.0411614378,27986.9802299852,13902.077090698,11557.8884592055
08b9ee3c-ce3f-42b7-8aad-72fc54f9fa91,HST,SDL/Window Radiation,kWh,Monthly,43913.7585703096,94106.9114377304,110548.594582259,132431.769828109,151031.442440009,141688.413691873,177173.06102701,150300.610151613,133202.430960434,88511.0660439334,43315.3258436838,37545.7660714047
19f4e1f6-da44-11ed-83b8-e520a6201abc,BIOE,SDL/Window Radiation,kWh,Monthly,8757.07883612889,19120.5754572296,21572.4561689889,24480.4418607536,26983.0278207671,25109.8878594311,32318.6016120382,27876.6853697662,25019.7537304444,17506.1676569782,8749.97393970745,7152.47444029149
27f121a6-f0ba-4826-8049-9b0bb202997b,MSB,SDL/Window Radiation,kWh,Monthly,8349.49537741535,18222.6014301694,19489.7915623745,21531.5095587049,23406.7916329759,21728.9544590182,27717.8206420262,24374.823762689,22621.045216583,15994.3441210862,8045.69509913385,7739.16051136437
341c5d3c-a46d-4553-80d8-2c11b83e21dd,HSE,SDL/Window Radiation,kWh,Monthly,5756.19681264483,12589.8068351295,13747.0764274828,15858.3622681028,18008.2893627549,16723.5096449532,21055.0892181478,18491.4772495934,16846.0844435872,11301.0507783112,5491.89580949879,5863.66010340533
3aca682b-80b7-463c-8e32-725f2aedbf8f,HSC,SDL/Window Radiation,kWh,Monthly,6529.90489200535,13948.5087044353,16052.4875356414,19023.5162589275,21897.050936624,20536.9441696262,25460.4153788135,21742.4030482148,19571.1218154708,12979.9603931897,6287.03405011484,6177.57381439905
4290d91a-da44-11ed-83b8-e520a6201abc,OTS,SDL/Window Radiation,kWh,Monthly,245.310381750358,547.359031708203,665.694532586106,755.470527855385,800.316262881484,732.304277563918,926.868108124639,846.553911238954,779.625552765613,528.001185526551,244.060742000279,208.147727788778
4290d968-da44-11ed-83b8-e520a6201abc,HCK,SDL/Window Radiation,kWh,Monthly,7721.20590673005,16916.5709210975,20143.6604162249,23535.596240534,26295.4037339106,24573.6357657742,31766.7818140545,27114.2403401337,23937.9995892406,16030.4972894941,7703.34592887746,6456.92068025131
4290daa8-da44-11ed-83b8-e520a6201abc,OSB,SDL/Window Radiation,kWh,Monthly,492.948951061407,1083.57947704999,1154.30232230134,1277.21138861418,1397.86402395755,1291.75088230325,1674.68017022499,1460.24830285825,1352.12630759004,949.327643111647,475.734388060028,457.760000871313
42a706a2-da44-11ed-83b8-e520a6201abc,HSBB,SDL/Window Radiation,kWh,Monthly,21455.7679480318,46307.5940727283,52515.4221017794,61312.503658888,69160.1891614392,64704.0097102535,81497.2370542682,70407.6275750463,62967.7972043024,41739.770623495,21052.3746940326,18114.262423952
42a706b4-da44-11ed-83b8-e520a6201abc,OCN,SDL/Window Radiation,kWh,Monthly,9835.38584275181,21668.0055402639,24178.3269233773,27799.565992312,31121.3249735962,29093.1869385098,37441.5436558677,32062.1953636247,28860.3798957695,19532.0023785609,9576.5536313389,8948.59411443517
42a70703-da44-11ed-83b8-e520a6201abc,OTB,SDL/Window Radiation,kWh,Monthly,6732.5088367341,14980.0615774409,16783.6268662316,18628.2571299663,20447.7842053794,19086.8467504302,24628.8673955601,21300.3594890902,19325.4309582535,13643.2281388344,6722.47615287042,5605.14040408125
42a70783-da44-11ed-83b8-e520a6201abc,OTS2,SDL/Window Radiation,kWh,Monthly,742.849762133035,1592.2045682966,1993.18170637495,2374.8111678347,2651.71044513042,2469.12416667619,3175.69036814542,2726.96834642582,2351.58820591397,1560.2206479527,738.73200985567,624.069796521241
5125d8bc-99ef-4be7-838e-5689957b71e6,HSI,SDL/Window Radiation,kWh,Monthly,14378.0543828369,28823.1207538525,34619.74944202,43875.3725001823,51443.5060919007,48322.661947326,60079.291782565,50359.3752488223,43044.6914963002,27280.5153230934,13895.9492989562,12854.3843347394
68fcc08e-5cec-4700-8bba-bdfa0d2e303b,HSF,SDL/Window Radiation,kWh,Monthly,21093.7072064742,46129.5540988156,52253.1465597812,61503.6034445714,69680.7594236786,64934.1279908962,83561.6180192305,71735.130357767,63121.7352863928,42090.0329365553,20778.7120556054,18571.2256710881
7237b167-7d14-40a1-86a4-81e307587310,HSH,SDL/Window Radiation,kWh,Monthly,22913.754748474,51811.8679162438,56218.4114785541,63708.5945101981,70728.0614179896,65460.0952583924,84679.7564319679,74065.4177368373,67156.6203341908,45990.2804771277,22454.6524892551,20679.770926524
81d62c4f-2c6c-4a71-9a6b-295a722484bc,UMSP,SDL/Window Radiation,kWh,Monthly,28771.7391496246,64187.7618029545,70107.3615674952,79178.1964649249,87704.9934842907,81686.4020201283,106599.1664299,91800.4867488431,83171.2841164496,57287.1760899073,28242.9431989518,24624.274057662
