Building Id,Building Name,Metric,Units,Resolution,1,2,3,4,5,6,7,8,9,10,11,12
02699806-fbb9-4003-84e3-45083cedb250,CHSC,SDL/Window Radiation,kWh,Monthly,5356.55746793027,18115.5048225784,19351.7313405294,23418.9639197311,27395.8669242149,26352.4581942409,35009.6255191435,32346.1205384683,29736.1230910436,21160.9349833196,6798.83654752789,5031.36743108187
033f908b-c572-4787-8a9a-d1a66a713a0f,PBB,SDL/Window Radiation,kWh,Monthly,21895.9899628006,69056.0183173958,78791.2727852042,97661.7009515836,117053.779328939,113257.454543154,149419.488085412,133038.356668125,119870.640356017,82592.8664636631,27380.1238082934,19933.1573877002
070c4c1d-a400-438f-830e-941ca7816c48,GNOM,SDL/Window Radiation,kWh,Monthly,7946.29990918202,23952.2784198928,29115.2844791301,37358.1890387687,46008.4097333572,44606.9957560579,60167.5821844402,51686.665908854,44226.6083875001,29422.0380052142,9905.33175521267,6830.66010543591
08b9ee3c-ce3f-42b7-8aad-72fc54f9fa91,HST,SDL/Window Radiation,kWh,Monthly,29288.096272342,86033.1151936257,103936.317465735,131928.192407196,160250.888432587,156971.331302845,202008.998194601,175768.744661701,155686.430000005,105809.534408224,35865.0725447926,26678.5871591947
19f4e1f6-da44-11ed-83b8-e520a6201abc,BIOE,SDL/Window Radiation,kWh,Monthly,5166.31934720053,15846.9257780879,18928.3108313925,23714.5134202348,28717.3475130704,27758.9745783246,37199.9711602183,32368.354239741,28508.8886838946,19459.9827789514,6453.39090806502,4527.29102029914
27f121a6-f0ba-4826-8049-9b0bb202997b,MSB,SDL/Window Radiation,kWh,Monthly,4675.89165048758,14836.1514601709,16556.1887944888,20289.2887321877,24066.7717070498,23231.961614815,30713.3324454185,27392.2812479597,24889.7382078851,17452.9546321218,5849.54037781355,4292.24767654239
341c5d3c-a46d-4553-80d8-2c11b83e21dd,HSE,SDL/Window Radiation,kWh,Monthly,4036.82359750058,12790.6172017197,15645.998081376,20247.2180592369,24138.9738352086,23599.4479511624,31071.8251776315,28245.7302165023,25851.6602561215,16330.4286891946,4999.17357238281,3745.55929824259
3aca682b-80b7-463c-8e32-725f2aedbf8f,HSC,SDL/Window Radiation,kWh,Monthly,4255.57457608441,12843.9169329655,15979.1112637321,20682.1524154231,25262.8511864773,24882.6296975748,32287.4222456132,28557.1502101708,25641.574322768,16331.2504083692,5208.85214057226,3910.10145436698
4290d91a-da44-11ed-83b8-e520a6201abc,OTS,SDL/Window Radiation,kWh,Monthly,153.065571036473,451.933334415339,559.502563264898,724.033655906578,884.330188355487,855.405004405585,1136.08016715895,1002.66576914905,867.924429623025,562.194769373635,187.961236204465,139.532311825841
4290d968-da44-11ed-83b8-e520a6201abc,HCK,SDL/Window Radiation,kWh,Monthly,4596.73379076164,13547.9287402587,16805.4340533139,21979.7867783341,27249.9680137114,26476.0875235802,35609.4791119398,30494.4627824469,25869.4289090731,16801.5973429123,5674.97155293922,4021.13685440979
4290daa8-da44-11ed-83b8-e520a6201abc,OSB,SDL/Window Radiation,kWh,Monthly,281.519039494156,896.549868348664,999.59909747264,1218.03570884376,1443.86981521139,1397.7033129338,1854.49394536359,1643.22144307119,1504.76872155564,1052.53864737575,352.934011963082,257.804864975742
42a706a2-da44-11ed-83b8-e520a6201abc,HSBB,SDL/Window Radiation,kWh,Monthly,13111.6283795364,41013.137706631,47275.1304264053,60506.3503921048,73607.4924277264,71845.4258418554,94980.7982995849,83605.6464515604,74179.3393256799,48711.1689462448,16297.0614434569,11177.1244962039
42a706b4-da44-11ed-83b8-e520a6201abc,OCN,SDL/Window Radiation,kWh,Monthly,5895.02898417142,18315.5426076388,20798.19919925,26045.2224737232,31586.5412476056,30642.497670474,40452.6216164925,35551.9706783908,31558.3987553245,21627.588111944,7344.09056954966,5392.73132586063
42a70703-da44-11ed-83b8-e520a6201abc,OTB,SDL/Window Radiation,kWh,Monthly,3683.87824898711,11282.8629472437,13747.2831416471,17484.4475201046,21401.7455428036,20696.2197057612,27899.4743886632,24230.3967507679,20974.9030706001,14004.7377981294,4602.40727992348,3175.13373379422
42a70783-da44-11ed-83b8-e520a6201abc,OTS2,SDL/Window Radiation,kWh,Monthly,459.010723484831,1291.8750746033,1679.39637715612,2234.34852000843,2868.4664729385,2803.29818003827,3801.20013506096,3149.27637022428,2602.33067517274,1633.77994886072,559.273505393492,398.313517383958
5125d8bc-99ef-4be7-838e-5689957b71e6,HSI,SDL/Window Radiation,kWh,Monthly,10256.2650052696,30641.1017877119,38020.3773133719,48548.9152346172,58651.9538572428,57234.4006840392,73942.0167309771,65657.0224389822,59118.5695894652,38891.3404254839,12557.2322063242,9385.82640286936
68fcc08e-5cec-4700-8bba-bdfa0d2e303b,HSF,SDL/Window Radiation,kWh,Monthly,13283.4459235841,41001.4561242546,48482.6469255242,61782.099277758,74852.960340997,72525.7871902795,95338.6745922832,84733.2908704609,74778.9331259872,50061.4453330288,16587.0167694679,11827.8695793418
7237b167-7d14-40a1-86a4-81e307587310,HSH,SDL/Window Radiation,kWh,Monthly,14039.4133805355,45079.0640125807,51032.725865383,63886.5005866095,76233.4666396052,73650.8512424468,97587.3247359565,87860.6536957755,79018.5694622934,53756.7681358888,17662.1240366282,12705.5510963865
81d62c4f-2c6c-4a71-9a6b-295a722484bc,UMSP,SDL/Window Radiation,kWh,Monthly,17195.6638211645,54766.1226215161,62296.3992153918,77599.5276020498,94676.128217221,91317.926766872,124181.415059955,108044.857309995,95123.1390939812,65101.4610782242,21558.9891563665,15132.6494892917
