# EC-Earth3 ssp245 2050-WARMER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,5.36,4.75,3.38,3.62,2.98,3.74,4.17,5.50,6.04,4.59,3.55,5.78
Maximum temperature,TMAX - tasmax,∆°C,5.26,5.08,4.02,4.01,3.19,3.94,4.73,6.49,7.39,4.86,4.52,5.78
Minimum temperature,TMIN - tasmin,∆°C,5.45,4.33,2.96,3.03,2.67,3.85,3.49,4.59,5.34,3.71,3.45,6.37
Precipitation,PREC - pr,fraction,1.21,1.29,0.79,0.82,0.82,0.82,0.24,0.19,0.31,0.48,1.08,1.74
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-9.17,-13.37,-1.54,-4.86,7.16,29.46,31.28,33.32,22.15,14.61,-2.70,-9.98
Total cloud in longwave radiation,TCLW - clt,∆%,6.66,5.31,-1.24,-0.82,-6.15,-10.27,-15.36,-18.72,-15.87,-5.16,2.96,9.47
Snow depth,SNOW - snd,fraction,0.07,0.04,0.04,0.02,0.02,0.87,1.00,1.00,0.96,0.87,0.01,0.09
Specific humidity,SPHU - huss,∆kg/kg,0.001432,0.001336,0.001079,0.001334,0.001217,0.002476,0.001828,0.000806,0.001948,0.001372,0.001364,0.001657
Mean sea level pressure,MSLP - psl,∆hPa,-5.73,-3.87,-2.51,-0.72,-0.12,-0.57,0.12,-0.89,-0.24,0.98,2.95,-0.88
Wind speed,WIND - sfcWind,fraction,0.9334,0.9621,0.9418,0.8771,0.9814,0.8843,0.9718,0.9956,0.9229,0.8741,0.9608,0.9737
