# EC-Earth3 ssp585 2080-WARMER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,8.65,6.41,5.18,5.56,5.47,6.80,10.27,9.91,11.12,5.95,5.35,8.34
Maximum temperature,TMAX - tasmax,∆°C,7.93,6.72,5.38,6.14,5.34,7.80,11.83,10.93,12.51,5.70,5.50,8.32
Minimum temperature,TMIN - tasmin,∆°C,9.32,6.37,5.01,5.11,5.29,6.09,9.25,9.56,9.46,6.56,5.72,8.89
Precipitation,PREC - pr,fraction,1.95,1.27,1.02,0.99,0.63,0.21,0.04,0.08,0.26,0.83,1.19,1.80
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-19.56,-14.76,-14.64,-8.47,8.67,62.01,57.26,33.05,21.83,0.62,-4.01,-12.56
Total cloud in longwave radiation,TCLW - clt,∆%,13.76,3.50,-1.97,2.50,-2.92,-15.27,-20.96,-11.94,-15.75,-6.18,1.58,8.44
Snow depth,SNOW - snd,fraction,0.01,0.01,0.00,0.00,0.00,0.87,1.00,1.00,0.96,0.87,0.00,0.01
Specific humidity,SPHU - huss,∆kg/kg,0.002610,0.002040,0.002017,0.002109,0.002601,0.002529,0.002500,0.002830,0.003457,0.003127,0.002074,0.002478
Mean sea level pressure,MSLP - psl,∆hPa,-1.35,2.01,-1.06,0.49,-0.32,0.61,-0.04,-0.17,0.21,0.95,-0.54,0.03
Wind speed,WIND - sfcWind,fraction,0.9790,0.8679,0.9266,0.8881,0.9208,0.9608,1.0126,0.9959,0.9081,0.9270,0.9788,0.9671
