# EC-Earth3 ssp245 2080-WARMER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,6.87,5.74,4.67,4.54,3.83,4.83,5.50,6.38,6.88,3.94,4.12,6.80
Maximum temperature,TMAX - tasmax,∆°C,6.60,6.29,4.92,5.03,4.29,5.52,6.12,7.93,8.23,3.96,4.08,6.56
Minimum temperature,TMIN - tasmin,∆°C,7.32,4.90,4.34,3.94,3.18,4.27,4.81,5.24,5.67,4.13,4.42,7.35
Precipitation,PREC - pr,fraction,1.87,0.97,0.77,1.02,0.43,0.43,0.20,0.16,0.19,1.31,1.31,1.65
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-13.66,-7.15,-16.48,0.18,24.77,29.74,43.49,30.07,24.15,-4.30,-5.91,-9.70
Total cloud in longwave radiation,TCLW - clt,∆%,13.20,0.48,4.71,-1.01,-7.91,-12.82,-19.92,-15.14,-14.88,0.70,1.83,6.51
Snow depth,SNOW - snd,fraction,0.08,0.01,0.01,0.00,0.00,0.87,1.00,1.00,0.96,0.87,0.01,0.05
Specific humidity,SPHU - huss,∆kg/kg,0.001915,0.001683,0.001535,0.001526,0.001687,0.002276,0.001488,0.001542,0.000980,0.001932,0.001592,0.001935
Mean sea level pressure,MSLP - psl,∆hPa,-6.61,-1.96,-1.21,1.17,0.42,-0.23,-0.08,-0.19,0.35,-0.31,-0.23,-1.83
Wind speed,WIND - sfcWind,fraction,0.9560,0.9275,0.9890,0.9712,0.9120,0.9276,0.9467,0.9789,0.9358,0.9569,0.9920,0.9594
