# EC-Earth3 ssp585 2080-COLDER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,-0.62,0.53,1.13,1.52,1.64,2.46,2.23,4.50,3.40,2.55,2.04,3.20
Maximum temperature,TMAX - tasmax,∆°C,-0.39,0.99,0.83,1.11,0.80,1.64,0.91,4.32,2.43,2.26,2.92,3.42
Minimum temperature,TMIN - tasmin,∆°C,-1.00,-0.21,1.49,2.07,2.04,3.02,3.56,4.97,4.05,2.87,1.54,3.56
Precipitation,PREC - pr,fraction,1.26,0.73,1.25,1.76,1.14,0.93,2.80,0.84,0.99,0.98,0.63,1.39
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,4.41,7.71,-18.00,-35.84,-13.36,3.19,-50.12,0.49,-16.92,-4.16,8.53,-3.49
Total cloud in longwave radiation,TCLW - clt,∆%,-15.22,-2.93,5.83,9.49,5.53,4.52,17.70,-2.06,7.07,0.10,-13.27,-3.65
Snow depth,SNOW - snd,fraction,0.33,0.30,0.32,0.21,0.00,0.87,1.00,1.00,0.96,0.87,0.04,0.21
Specific humidity,SPHU - huss,∆kg/kg,-0.000125,0.000118,0.000495,0.000833,0.001094,0.002128,0.003416,0.003275,0.002328,0.001521,0.000676,0.000906
Mean sea level pressure,MSLP - psl,∆hPa,1.42,0.68,2.77,2.17,0.17,1.67,0.24,0.97,0.25,0.57,4.29,-1.37
Wind speed,WIND - sfcWind,fraction,0.9677,1.0262,0.9365,1.0847,0.9817,0.9939,0.9193,0.9364,0.9624,0.9693,0.8870,1.0248
