# EC-Earth3 ssp370 2080-WARMER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,7.80,5.84,4.70,5.24,4.49,7.44,7.75,8.35,9.57,5.49,4.72,7.83
Maximum temperature,TMAX - tasmax,∆°C,7.61,6.48,4.97,5.98,4.23,9.04,9.12,9.38,10.61,5.57,4.72,7.92
Minimum temperature,TMIN - tasmin,∆°C,8.08,5.89,4.91,4.81,4.07,6.16,6.87,7.40,8.36,6.66,5.05,8.42
Precipitation,PREC - pr,fraction,1.19,0.98,1.64,0.63,0.85,0.15,0.13,0.14,0.14,1.09,1.52,2.21
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-15.47,-12.38,-30.12,8.05,-2.10,67.87,42.02,27.95,29.27,1.54,-7.85,-11.71
Total cloud in longwave radiation,TCLW - clt,∆%,9.34,5.70,8.36,-1.36,-1.56,-27.04,-19.47,-18.46,-18.20,-2.00,2.23,5.27
Snow depth,SNOW - snd,fraction,0.03,0.01,0.01,0.00,0.00,0.87,1.00,1.00,0.96,0.87,0.00,0.02
Specific humidity,SPHU - huss,∆kg/kg,0.002298,0.001784,0.001856,0.001943,0.002086,0.001894,0.002015,0.001916,0.002067,0.003255,0.001891,0.002399
Mean sea level pressure,MSLP - psl,∆hPa,-6.03,-1.48,-0.72,1.58,0.23,0.27,-0.16,0.01,0.08,-0.76,-0.49,-1.18
Wind speed,WIND - sfcWind,fraction,0.9107,0.8807,0.9942,0.9510,0.9306,0.9791,1.0047,0.9573,0.9122,1.0612,1.0252,0.9393
