# EC-Earth3 ssp245 2080-COLDER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,0.88,1.21,0.10,1.04,0.11,0.61,1.34,1.95,0.38,0.52,-0.64,-0.42
Maximum temperature,TMAX - tasmax,∆°C,0.22,0.13,-0.45,0.52,-0.49,0.02,0.60,1.56,-1.46,0.15,0.27,0.21
Minimum temperature,TMIN - tasmin,∆°C,0.51,1.02,0.65,1.19,0.62,1.56,1.48,2.64,1.51,1.09,-0.44,-0.32
Precipitation,PREC - pr,fraction,1.10,1.15,1.88,1.32,1.28,1.41,0.84,1.28,1.44,1.45,0.91,1.31
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,3.92,-0.15,-19.05,-14.92,-29.45,-20.93,-12.97,-5.46,-10.29,-2.13,3.07,0.47
Total cloud in longwave radiation,TCLW - clt,∆%,1.27,-2.19,9.78,3.35,6.92,5.24,2.11,2.83,3.06,-6.33,-9.90,-11.59
Snow depth,SNOW - snd,fraction,0.43,0.66,0.46,0.26,0.02,0.87,1.00,1.00,0.96,1.02,1.10,0.72
Specific humidity,SPHU - huss,∆kg/kg,0.000344,0.000222,0.000193,0.000382,0.000350,0.000845,0.001397,0.001823,0.000951,0.000500,-0.000102,0.000045
Mean sea level pressure,MSLP - psl,∆hPa,3.56,1.59,-0.04,1.63,-0.82,0.94,0.89,0.34,1.00,-0.14,0.32,0.80
Wind speed,WIND - sfcWind,fraction,0.9568,0.9958,1.0655,1.0788,1.0092,0.9729,0.8653,0.9801,0.9188,0.9692,0.9843,0.9992
