# EC-Earth3 ssp245 2050-COLDER
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,1.06,-1.22,-0.48,-0.61,-0.70,-0.39,0.29,0.83,0.08,-1.26,0.03,-1.62
Maximum temperature,TMAX - tasmax,∆°C,0.88,-0.96,-0.56,-0.72,-1.48,-1.18,0.23,0.90,-1.00,-1.08,0.49,-0.80
Minimum temperature,TMIN - tasmin,∆°C,0.82,-1.89,-0.17,-0.69,-0.88,0.38,0.80,1.49,0.91,-0.58,0.02,-2.12
Precipitation,PREC - pr,fraction,0.76,0.70,1.40,1.33,1.16,1.31,1.50,1.46,0.99,0.86,1.02,1.20
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,1.56,14.28,-8.33,-20.47,-12.32,-24.26,-16.86,-10.60,-10.48,3.00,2.82,4.16
Total cloud in longwave radiation,TCLW - clt,∆%,0.20,-10.25,3.22,6.86,4.54,10.80,13.01,2.10,4.20,-5.04,-5.76,-12.05
Snow depth,SNOW - snd,fraction,0.36,1.10,0.51,1.27,1.18,0.96,1.00,1.00,0.96,2.03,0.36,0.61
Specific humidity,SPHU - huss,∆kg/kg,0.000066,-0.000385,-0.000065,-0.000257,-0.000145,0.000783,0.001185,0.001883,0.000686,-0.000197,0.000073,-0.000189
Mean sea level pressure,MSLP - psl,∆hPa,-1.28,1.57,2.78,-0.83,0.80,-0.27,0.44,0.47,0.74,1.08,-0.22,-0.57
Wind speed,WIND - sfcWind,fraction,0.9735,1.0129,1.0907,1.0163,1.0375,0.9606,0.9553,0.9743,0.9713,0.9481,0.9536,1.0702
