# EC-Earth3 ssp245 2080
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,4.53,3.99,2.72,2.78,1.58,2.64,3.28,4.20,3.88,2.47,2.19,4.30
Maximum temperature,TMAX - tasmax,∆°C,4.15,3.92,2.67,3.07,0.95,2.97,3.53,4.62,4.17,2.33,2.64,4.52
Minimum temperature,TMIN - tasmin,∆°C,4.78,3.84,2.94,2.23,1.86,2.75,3.10,3.76,3.76,3.30,2.29,4.65
Precipitation,PREC - pr,fraction,1.35,1.11,1.16,1.03,1.08,0.65,0.77,0.66,0.60,1.08,1.22,1.38
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-8.70,-6.90,-17.61,-9.01,-11.82,26.63,8.70,14.27,6.66,-4.71,-1.59,-4.83
Total cloud in longwave radiation,TCLW - clt,∆%,6.57,0.96,7.60,1.87,4.73,-7.34,-2.03,-6.31,-4.07,1.27,-1.29,1.16
Snow depth,SNOW - snd,fraction,0.14,0.08,0.05,0.04,0.00,0.87,1.00,1.00,0.96,0.87,0.09,0.18
Specific humidity,SPHU - huss,∆kg/kg,0.001111,0.001134,0.000975,0.000989,0.000948,0.001580,0.001304,0.001813,0.001117,0.001250,0.000795,0.001168
Mean sea level pressure,MSLP - psl,∆hPa,-4.56,-1.15,-0.06,1.17,0.05,0.75,0.31,0.25,0.24,-0.94,-0.16,0.36
Wind speed,WIND - sfcWind,fraction,0.9366,0.9580,0.9558,1.0005,0.9905,0.9749,0.9452,0.9857,0.9647,0.9805,0.9978,0.9503
