# EC-Earth3 ssp585 2080
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,6.09,5.20,3.18,3.53,3.01,4.54,5.53,7.69,7.04,4.12,3.91,6.46
Maximum temperature,TMAX - tasmax,∆°C,5.72,4.77,3.42,3.84,2.48,4.51,6.11,8.07,7.15,3.65,4.08,6.11
Minimum temperature,TMIN - tasmin,∆°C,6.06,4.67,2.97,3.31,3.10,4.51,5.48,7.38,7.02,5.27,4.10,6.99
Precipitation,PREC - pr,fraction,1.61,1.25,1.23,1.18,1.02,0.66,0.40,0.31,0.59,1.13,1.13,1.64
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-9.58,-11.75,-15.13,-13.73,-11.10,12.08,20.29,21.86,8.93,-1.34,-2.12,-8.28
Total cloud in longwave radiation,TCLW - clt,∆%,4.41,1.98,6.13,4.15,1.21,-4.52,-12.68,-12.32,-8.56,0.21,-1.15,3.79
Snow depth,SNOW - snd,fraction,0.10,0.04,0.03,0.00,0.00,0.87,1.00,1.00,0.96,0.87,0.01,0.09
Specific humidity,SPHU - huss,∆kg/kg,0.001626,0.001582,0.001080,0.001455,0.001673,0.002626,0.002508,0.003223,0.002554,0.002330,0.001526,0.001833
Mean sea level pressure,MSLP - psl,∆hPa,-1.31,1.13,1.48,1.64,-0.02,1.07,0.72,0.28,0.50,0.07,1.53,-0.32
Wind speed,WIND - sfcWind,fraction,0.9308,0.9177,0.9345,0.9984,0.9691,0.9641,0.9757,0.9475,0.9132,0.9660,0.9516,0.9606
