# EC-Earth3 ssp126 2080
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,3.13,2.60,1.73,1.47,1.02,1.50,2.32,2.66,2.81,1.72,2.33,4.63
Maximum temperature,TMAX - tasmax,∆°C,2.58,2.74,1.79,1.81,0.59,1.34,2.73,3.22,2.76,1.79,2.58,4.45
Minimum temperature,TMIN - tasmin,∆°C,3.35,2.47,1.72,1.41,1.02,1.77,1.88,2.25,2.68,1.80,2.67,5.20
Precipitation,PREC - pr,fraction,1.21,0.93,0.99,1.04,1.15,0.78,0.69,0.81,0.76,0.86,1.19,1.51
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-7.55,-2.72,-6.47,-7.84,-13.57,13.08,14.01,9.58,5.91,3.56,-0.10,-7.16
Total cloud in longwave radiation,TCLW - clt,∆%,4.74,-0.43,5.46,2.46,3.13,-3.07,-3.76,-7.72,-3.61,-4.86,-2.13,6.16
Snow depth,SNOW - snd,fraction,0.23,0.17,0.11,0.10,0.03,0.87,1.00,1.00,0.96,0.87,0.04,0.24
Specific humidity,SPHU - huss,∆kg/kg,0.000807,0.000663,0.000494,0.000507,0.000603,0.000915,0.000838,0.001138,0.001109,0.000739,0.000902,0.001250
Mean sea level pressure,MSLP - psl,∆hPa,-4.57,-1.95,0.51,-0.01,-0.18,0.50,0.36,0.12,0.91,0.59,0.60,-2.05
Wind speed,WIND - sfcWind,fraction,0.9646,0.9538,0.9731,1.0120,1.0129,0.9733,0.9615,0.9896,0.9563,0.9906,0.9786,0.9929
