# EC-Earth3 ssp126 2050
Variable,Abbreviation,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Daily mean temperature,TEMP - tas,∆°C,3.27,2.50,1.83,1.99,1.40,1.55,1.69,2.63,2.44,1.82,2.06,3.31
Maximum temperature,TMAX - tasmax,∆°C,2.76,2.84,2.11,2.08,1.16,1.59,2.41,3.18,2.87,1.99,2.65,3.33
Minimum temperature,TMIN - tasmin,∆°C,3.47,2.21,1.83,1.96,1.32,1.86,1.28,2.41,2.15,1.75,2.04,3.67
Precipitation,PREC - pr,fraction,1.26,0.92,1.02,1.13,0.87,0.94,0.67,0.74,0.67,0.86,1.17,1.21
Total downward surface shortwave flux,DSWF - rsds,∆W/m²,-7.46,-2.45,-8.14,-9.87,-6.65,10.48,10.40,13.25,5.28,3.12,0.44,-2.72
Total cloud in longwave radiation,TCLW - clt,∆%,4.51,-2.52,3.12,4.79,3.79,-2.10,-4.28,-6.25,-5.45,-0.17,-1.00,-0.66
Snow depth,SNOW - snd,fraction,0.26,0.18,0.10,0.06,0.01,0.87,1.00,1.00,0.96,0.88,0.08,0.28
Specific humidity,SPHU - huss,∆kg/kg,0.000791,0.000593,0.000594,0.000682,0.000618,0.001029,0.000359,0.001164,0.000704,0.000505,0.000779,0.000821
Mean sea level pressure,MSLP - psl,∆hPa,-3.07,-1.15,-0.24,0.13,0.11,0.21,0.36,0.23,0.37,0.24,1.50,-0.24
Wind speed,WIND - sfcWind,fraction,0.9425,0.9507,0.9590,1.0080,0.9763,0.9928,1.0226,0.9786,0.9617,0.9634,0.9722,0.9784
