Building Id,Building Name,Metric,Units,Resolution,1,2,3,4,5,6,7,8,9,10,11,12
02699806-fbb9-4003-84e3-45083cedb250,B39,SDL/Window Radiation,kWh,Monthly,9851.23875165002,29835.3841739535,30341.0848496108,42004.8751987819,45463.2281479075,43832.2548740468,56819.3863583653,55271.7907854106,53928.5601694536,27229.2280946503,13452.8044278537,10797.9925374506
033f908b-c572-4787-8a9a-d1a66a713a0f,B33,SDL/Window Radiation,kWh,Monthly,36253.0026001506,104938.842480582,112273.348201181,158209.546008408,178165.583152216,174896.256561747,224807.368720181,208881.718021118,195653.382821752,98996.1315510286,48650.1538399947,37638.798827004
08b9ee3c-ce3f-42b7-8aad-72fc54f9fa91,B12,SDL/Window Radiation,kWh,Monthly,42323.8625579131,112332.259552771,130778.583841656,192116.155267088,223649.811581528,223521.208101743,280842.34102312,252695.83724396,223360.767571409,112160.54183552,55013.4944448114,40707.1266457569
19ca3e29-da44-11ed-83b8-e520a6201abc,B2,SDL/Window Radiation,kWh,Monthly,1375.41859891675,4129.09228494991,4467.88596259786,6410.52809061567,7308.85506601197,7118.51459932389,9405.55837811503,8748.9133563511,8058.75435703578,3915.49018164209,1870.84882471981,1419.25779543449
19f4e1f6-da44-11ed-83b8-e520a6201abc,B1,SDL/Window Radiation,kWh,Monthly,8325.57988936876,23448.8300410839,26324.10187106,38078.9433260495,43754.4020452664,43101.6776717001,55575.8379629312,50515.5148478931,45418.421511287,22835.8512000147,11153.7420355363,8022.3173837345
27f121a6-f0ba-4826-8049-9b0bb202997b,B26,SDL/Window Radiation,kWh,Monthly,7838.16741477473,22784.2445382086,23662.9606491494,32667.4980994531,36533.9461603399,35824.070387352,45661.0959840235,42787.3492418629,40939.6488546502,21080.5969853154,10537.7145909736,8360.70286688772
341c5d3c-a46d-4553-80d8-2c11b83e21dd,B17,SDL/Window Radiation,kWh,Monthly,6559.30214824304,20529.2973324044,21543.1708605778,30247.8373081704,33225.7346734811,32010.6628358711,42226.9980909841,41088.941507624,39326.400140541,19382.8775609693,8975.25643401027,7097.10191942904
34a8632c-e20d-47f4-9d64-c5db3fde1c21,B11,SDL/Window Radiation,kWh,Monthly,10819.9663558838,28989.0962566512,32971.9353473392,48161.0251847708,56667.9954414868,56132.9700429823,71356.1758322204,64158.6072649594,56826.7581570955,28516.8849742109,13982.1786384964,10853.6882994098
3aca682b-80b7-463c-8e32-725f2aedbf8f,B19,SDL/Window Radiation,kWh,Monthly,7374.33279137754,21459.9071606263,23286.8835266084,33372.7492252047,37117.7998765566,36146.902452052,46513.1606158803,44374.1503759264,41684.5326288988,20617.4768573208,9818.66427316806,7792.41840912776
4290d8b8-da44-11ed-83b8-e520a6201abc,B25,SDL/Window Radiation,kWh,Monthly,417.201476732607,1166.96768330806,1251.96260545057,1770.67485128816,2026.72810749277,2010.50210423597,2550.1313940773,2335.21370943647,2170.18890570223,1108.83386530456,545.854264126547,456.268087491268
4290d91a-da44-11ed-83b8-e520a6201abc,B24,SDL/Window Radiation,kWh,Monthly,231.159361046242,653.35453098207,710.590421637033,998.391431592357,1145.43684079324,1164.22607521211,1445.52307823664,1297.81397430113,1212.04902306048,628.86692518084,303.676664935224,241.251597795756
4290d968-da44-11ed-83b8-e520a6201abc,B4,SDL/Window Radiation,kWh,Monthly,7450.15560585947,20250.5147423172,23157.0164737365,33409.8259885114,39790.0383068532,39880.026694544,50870.2537182702,44329.9186450965,39215.9545500287,19970.9476570773,9743.58387705455,7335.94287240585
4290daa8-da44-11ed-83b8-e520a6201abc,B34,SDL/Window Radiation,kWh,Monthly,420.628792141449,1243.91424139068,1264.72442971977,1691.54762138416,1916.48568541418,1882.21738957003,2402.5682521778,2210.27242954423,2142.27693774466,1136.24583507683,570.998877222037,451.422945096565
42a706a2-da44-11ed-83b8-e520a6201abc,B21,SDL/Window Radiation,kWh,Monthly,20115.2721093939,55828.1084810937,62423.6224681233,89537.2630496383,102576.458217775,101624.413013347,128369.987786785,117678.605588302,107476.270374441,54352.311541264,26583.3850375184,19932.8164220207
42a706b4-da44-11ed-83b8-e520a6201abc,B5,SDL/Window Radiation,kWh,Monthly,9653.01362885216,27898.4132237019,30026.3838696088,42612.9395753067,48627.8050800642,47829.9514166712,61760.2185823255,56832.7745336621,52874.1731087333,26363.1164392638,12880.4154175882,10059.3425149893
42a70703-da44-11ed-83b8-e520a6201abc,B27,SDL/Window Radiation,kWh,Monthly,6308.98215905854,18074.4213668724,19838.3138929704,28230.5860605195,32458.221099455,32122.8808151397,41454.2495019454,37461.6123432666,34064.9010136923,17346.1714593846,8491.95021974851,6219.199999242
42a70783-da44-11ed-83b8-e520a6201abc,B23,SDL/Window Radiation,kWh,Monthly,642.922922518122,1862.41034790513,2042.37193015009,2868.0213019158,3342.43903157115,3337.39530498238,4282.90078905522,3807.42269321848,3514.38237031482,1787.81271643855,853.73088147095,667.698707727767
42a708f4-da44-11ed-83b8-e520a6201abc,B3,SDL/Window Radiation,kWh,Monthly,12113.1997541118,35290.8618587018,38972.7668301715,56272.6047258948,64967.7270769073,63750.051881301,83600.6353201911,75985.7041258859,68609.1100722044,33881.8138860355,16376.1257998919,11600.013410813
42a70938-da44-11ed-83b8-e520a6201abc,B22,SDL/Window Radiation,kWh,Monthly,7001.94662855688,22531.721750776,21829.551627946,29550.8884915519,32093.9065367701,30565.1622247327,40673.403816498,39950.2241813223,40260.7478569863,19872.730015165,9690.55080942782,8095.49198777148
