Building Id,Building Name,Metric,Units,Resolution,1,2,3,4,5,6,7,8,9,10,11,12
02699806-fbb9-4003-84e3-45083cedb250,B39,SDL/Window Radiation,kWh,Monthly,13778.6147555728,30776.91175786,32001.9620441645,42783.3930499216,45326.3516464045,41025.0490810344,53618.8702600587,50726.1192536464,51695.6022331693,26570.1109365937,13260.1461009497,12936.884388883
033f908b-c572-4787-8a9a-d1a66a713a0f,B33,SDL/Window Radiation,kWh,Monthly,49602.1067743505,108763.562781906,120116.665190447,166150.50340462,181835.028544336,166786.276636516,218389.158368472,198447.18756067,192481.763125419,97718.0131459301,48397.4892224245,43663.376298428
08b9ee3c-ce3f-42b7-8aad-72fc54f9fa91,B12,SDL/Window Radiation,kWh,Monthly,55720.5474412388,114560.641566392,139698.38231252,202728.946768106,230720.070863802,214861.001588214,274731.608789425,241095.49238106,218592.501648689,109910.085030672,54528.4975556364,46426.201009159
19f4e1f6-da44-11ed-83b8-e520a6201abc,B1,SDL/Window Radiation,kWh,Monthly,12581.1792115883,27372.2583113609,30335.6607977783,42252.080873625,46368.929571797,42777.8063630793,56272.0849571265,50367.3756144222,48200.0177096596,24696.4549395378,12414.8065248143,10600.9505846151
27f121a6-f0ba-4826-8049-9b0bb202997b,B26,SDL/Window Radiation,kWh,Monthly,10675.7940584241,23218.3683715973,24965.1513737851,34210.377652301,37600.6062712701,34495.9668584328,45172.5465426613,40924.1439661718,40009.0709924593,20488.8237440552,10278.2734033414,9844.29226743675
341c5d3c-a46d-4553-80d8-2c11b83e21dd,B17,SDL/Window Radiation,kWh,Monthly,6324.47974296636,14276.8611076912,16269.4477733702,22618.9671473565,25080.4597625974,22599.239755179,30261.5176025505,28358.3530682455,27552.1819356665,13033.751215217,6036.06808855133,6205.9899774215
34a8632c-e20d-47f4-9d64-c5db3fde1c21,B11,SDL/Window Radiation,kWh,Monthly,13046.1888794558,26130.6067540388,33309.6194401484,49252.6709198023,56230.7699871682,52300.3364266182,67449.592636029,58877.5199132382,53018.3530126371,25663.8191766789,12605.9666714329,11081.1212250575
3aca682b-80b7-463c-8e32-725f2aedbf8f,B19,SDL/Window Radiation,kWh,Monthly,7884.145148782,16437.5386362237,19834.2100427643,28083.9936012297,31721.7521765768,29024.9137270397,37504.2929200553,34058.9226862304,31920.1973556409,15594.5207366165,7546.76492035593,7324.87163151499
4290d8b8-da44-11ed-83b8-e520a6201abc,B25,SDL/Window Radiation,kWh,Monthly,629.434008769919,1368.65100084601,1471.44246279533,1997.61975411415,2203.96232062083,2017.14302000144,2637.72827273115,2397.01138849124,2335.85925288559,1208.534002433,604.904912361675,580.398138141056
4290d91a-da44-11ed-83b8-e520a6201abc,B24,SDL/Window Radiation,kWh,Monthly,324.478953157579,722.65361372124,805.25298084502,1134.43118316238,1253.13033010141,1147.3624602392,1498.19099564515,1361.87538520386,1313.9736080613,654.405699501721,315.311778996777,285.895744037386
4290d968-da44-11ed-83b8-e520a6201abc,B4,SDL/Window Radiation,kWh,Monthly,10617.3404667686,22450.1417560079,26164.9439835243,37642.9532009888,41989.0027921453,38781.4578205142,50881.9019993356,45054.8805879416,41820.1026423885,20892.6232608282,10323.2373816884,9091.40991671109
4290daa8-da44-11ed-83b8-e520a6201abc,B34,SDL/Window Radiation,kWh,Monthly,580.02091562002,1273.59321833149,1353.09139048163,1843.21408440875,2017.18826478416,1850.55107994675,2436.78519763952,2231.77258455219,2182.06998909566,1114.97997531735,559.252346926841,535.891779341203
42a706a2-da44-11ed-83b8-e520a6201abc,B21,SDL/Window Radiation,kWh,Monthly,24840.8025819719,51701.490577636,60994.2961939628,87357.9441918799,99977.3537104893,92902.3615800423,119611.873228933,104897.622099469,96443.3588863866,48455.5607539229,24059.5048320031,21806.7356385873
42a706b4-da44-11ed-83b8-e520a6201abc,B5,SDL/Window Radiation,kWh,Monthly,13492.7672314855,29402.4715198293,32413.883147118,45033.4356833859,49585.6178792154,45450.4731729756,59814.7439954734,54128.204703775,52341.7063635489,26318.4516025491,13032.2438523468,12212.9408350888
42a70703-da44-11ed-83b8-e520a6201abc,B27,SDL/Window Radiation,kWh,Monthly,8945.43835000118,19524.5250843748,21633.1775902209,30060.6043593104,32989.6072691332,30338.736400163,39911.2704150532,35820.1689560401,34005.2201644057,17640.7985136089,8880.69678344129,7421.17025218067
42a70783-da44-11ed-83b8-e520a6201abc,B23,SDL/Window Radiation,kWh,Monthly,837.702660050067,1861.34229689802,2229.74564046727,3197.83081003055,3576.31138112132,3279.58642220319,4360.92059870411,3915.33785465722,3687.36950114374,1764.80014512537,822.616616879954,714.548331262337
42a708f4-da44-11ed-83b8-e520a6201abc,B3,SDL/Window Radiation,kWh,Monthly,17283.5152106593,38790.1951027129,42459.9009834357,59045.9690647889,64939.5480597038,59605.8065474,79663.8282146854,71606.9371121593,68765.8708762106,34721.6426772786,17176.8712886902,14195.3693275784
42a70938-da44-11ed-83b8-e520a6201abc,B22,SDL/Window Radiation,kWh,Monthly,10034.7988371074,23617.033139852,23420.6301508337,30695.9747306267,32000.0881979997,28415.3147680146,38447.7072720508,37386.536293913,39679.215419151,19740.6643175119,9514.66228610288,9952.00924748914
47bb711e-1f8d-4c20-8343-671405882c2a,B8,SDL/Window Radiation,kWh,Monthly,4102.80892731121,8898.58611327762,10833.1206794488,15712.1206770842,18747.8723506749,17267.6178996855,23034.3479154081,19879.1504973143,17746.8339533613,8461.69279095343,3997.24794639227,3602.5905698615
